naics_label,petitions,approvals,approval_rate
Accommodation and Food Services,1041,997,0.9577329490874159
"Arts, Entertainment, and Recreation",583,562,0.9639794168096055
Health Care and Social Assistance,17985,17400,0.9674728940783986
Other Services (except Public Administration),1504,1459,0.9700797872340425
Administrative and Support and Waste Management and Remediation Services,4714,4578,0.9711497666525244
"Agriculture, Forestry, Fishing and Hunting",425,414,0.9741176470588235
"Professional, Scientific, and Technical Services",194545,189622,0.9746948006887867
Transportation and Warehousing,2290,2239,0.9777292576419214
Real Estate and Rental and Leasing,1394,1365,0.9791965566714491
Wholesale Trade,4656,4571,0.9817439862542955
Public Administration,718,705,0.9818941504178273
Construction,3028,2975,0.9824966974900925
Retail Trade,21965,21603,0.9835192351468245
Educational Services,29942,29479,0.9845367710907755
"Mining, Quarrying, and Oil and Gas Extraction",734,723,0.9850136239782016
Information,36118,35683,0.9879561437510382
Manufacturing,44004,43493,0.9883874193255159
Utilities,1419,1405,0.9901338971106413
Finance and Insurance,32278,31994,0.9912014375116178
Management of Companies and Enterprises,3051,3025,0.9914782038675845
