feature,importance
num__log_employer_total,0.28331838889188254
num__log_petitions,0.08236831492587764
num__share_continuing,0.06581053084161868
cat__naics_code_54,0.025808010147498592
cat__naics_code_Other,0.02215118509434377
cat__size_bucket_single,0.021667410959633444
cat__size_bucket_small,0.021501527067865022
cat__naics_code_61,0.020939865830994723
cat__state_IN,0.020206904300140764
cat__state_CA,0.01849092102697794
cat__naics_code_62,0.017978256016214503
cat__naics_code_31-33,0.017702955070409296
cat__state_WY,0.016422061805308502
cat__naics_code_44-45,0.01257114436129693
cat__state_TX,0.012470640033280295
cat__naics_code_72,0.012083570605173849
cat__state_MA,0.01122101851976892
cat__state_NY,0.010709074550501525
cat__state_FL,0.01045115178675349
cat__naics_code_52,0.010172397745049326
cat__state_SC,0.01006261836667801
cat__naics_code_48-49,0.009991534183347205
cat__naics_code_81,0.009982793088296893
cat__state_NM,0.009565822355006722
cat__state_GA,0.009427118368153069
cat__state_OH,0.009145125764521082
cat__state_VA,0.009141546393906585
cat__naics_code_53,0.008531161282879205
cat__state_WA,0.007972899525003924
num__is_stem,0.0077239681967636855
