spec,feature,importance
structural,num__log_petitions,0.2688495751018167
structural,num__share_continuing,0.22116363904156272
structural,num__share_stem,0.20122675023296074
structural,num__log_employers,0.09864407624388082
structural,cat__state_NY,0.017663919001392414
structural,cat__state_VT,0.01711566436788879
structural,cat__state_FL,0.017112409248387795
structural,cat__state_CA,0.013573793783994518
structural,cat__state_MN,0.011994011180558385
structural,cat__state_GA,0.011839510983501243
structural,cat__state_infrequent_sklearn,0.010376900650855824
structural,cat__state_LA,0.00985056621776933
structural,cat__state_CT,0.009518243342765267
structural,cat__state_NJ,0.008955435396529073
structural,cat__state_NC,0.006719138827155217
structural,cat__state_SC,0.006147834625606394
structural,cat__state_MO,0.0060186494531470095
structural,cat__state_CO,0.005964024794762703
structural,cat__state_MA,0.005392005764397956
structural,cat__state_OH,0.004942958872910982
enriched,num__log_wage,0.197649597553554
enriched,num__log_density,0.16368564630672108
enriched,num__log_population,0.11732550143556873
enriched,num__log_lca,0.11076677388939606
enriched,num__log_petitions,0.07407203197060301
enriched,num__log_rent,0.058750439279999005
enriched,num__share_continuing,0.05150522860923375
enriched,num__share_stem,0.037991896950464024
enriched,num__log_employers,0.02891505091851725
enriched,num__unemployed_z,0.02241542614093745
enriched,cat__state_LA,0.014113356940034523
enriched,num__employed_pct,0.012791411621897716
enriched,cat__state_GA,0.009249159939640013
enriched,cat__state_FL,0.008909812485706247
enriched,cat__state_MN,0.0076184950133367044
enriched,cat__state_WA,0.005832326828603627
enriched,cat__state_infrequent_sklearn,0.005768132718800954
enriched,cat__state_CA,0.005627611509421919
enriched,cat__state_VT,0.004935452077122764
enriched,cat__state_MO,0.004932729798566089
